2020-07-31 16:57:17 startup archives install
2020-07-31 16:57:17 install base-passwd:armhf <none> 3.5.47
2020-07-31 16:57:17 status half-installed base-passwd:armhf 3.5.47
2020-07-31 16:57:17 status unpacked base-passwd:armhf 3.5.47
2020-07-31 16:57:17 configure base-passwd:armhf 3.5.47 3.5.47
2020-07-31 16:57:17 status half-configured base-passwd:armhf 3.5.47
2020-07-31 16:57:17 status installed base-passwd:armhf 3.5.47
2020-07-31 16:57:17 startup archives install
2020-07-31 16:57:17 install base-files:armhf <none> 11ubuntu5
2020-07-31 16:57:17 status half-installed base-files:armhf 11ubuntu5
2020-07-31 16:57:17 status unpacked base-files:armhf 11ubuntu5
2020-07-31 16:57:17 configure base-files:armhf 11ubuntu5 11ubuntu5
2020-07-31 16:57:17 status half-configured base-files:armhf 11ubuntu5
2020-07-31 16:57:18 status installed base-files:armhf 11ubuntu5
2020-07-31 16:57:18 startup archives install
2020-07-31 16:57:18 upgrade dpkg 1.19.7ubuntu3 1.19.7ubuntu3
2020-07-31 16:57:18 status half-configured dpkg 1.19.7ubuntu3
2020-07-31 16:57:18 status unpacked dpkg 1.19.7ubuntu3
2020-07-31 16:57:18 status half-installed dpkg 1.19.7ubuntu3
2020-07-31 16:57:18 status unpacked dpkg:armhf 1.19.7ubuntu3
2020-07-31 16:57:18 configure dpkg:armhf 1.19.7ubuntu3 1.19.7ubuntu3
2020-07-31 16:57:18 status half-configured dpkg:armhf 1.19.7ubuntu3
2020-07-31 16:57:18 status installed dpkg:armhf 1.19.7ubuntu3
2020-07-31 16:57:18 startup archives install
2020-07-31 16:57:18 install libc6:armhf <none> 2.31-0ubuntu9
2020-07-31 16:57:18 status half-installed libc6:armhf 2.31-0ubuntu9
2020-07-31 16:57:19 status unpacked libc6:armhf 2.31-0ubuntu9
2020-07-31 16:57:19 configure libc6:armhf 2.31-0ubuntu9 2.31-0ubuntu9
2020-07-31 16:57:19 status half-configured libc6:armhf 2.31-0ubuntu9
2020-07-31 16:57:19 status installed libc6:armhf 2.31-0ubuntu9
2020-07-31 16:57:19 startup archives install
2020-07-31 16:57:19 install perl-base:armhf <none> 5.30.0-9build1
2020-07-31 16:57:19 status half-installed perl-base:armhf 5.30.0-9build1
2020-07-31 16:57:20 status unpacked perl-base:armhf 5.30.0-9build1
2020-07-31 16:57:20 configure perl-base:armhf 5.30.0-9build1 5.30.0-9build1
2020-07-31 16:57:20 status half-configured perl-base:armhf 5.30.0-9build1
2020-07-31 16:57:20 status installed perl-base:armhf 5.30.0-9build1
2020-07-31 16:57:20 startup archives install
2020-07-31 16:57:20 install mawk:armhf <none> 1.3.4.20200120-2
2020-07-31 16:57:20 status half-installed mawk:armhf 1.3.4.20200120-2
2020-07-31 16:57:20 status unpacked mawk:armhf 1.3.4.20200120-2
2020-07-31 16:57:20 configure mawk:armhf 1.3.4.20200120-2 1.3.4.20200120-2
2020-07-31 16:57:20 status half-configured mawk:armhf 1.3.4.20200120-2
2020-07-31 16:57:20 status installed mawk:armhf 1.3.4.20200120-2
2020-07-31 16:57:20 startup archives unpack
2020-07-31 16:57:20 upgrade base-files:armhf 11ubuntu5 11ubuntu5
2020-07-31 16:57:20 status half-configured base-files:armhf 11ubuntu5
2020-07-31 16:57:20 status unpacked base-files:armhf 11ubuntu5
2020-07-31 16:57:20 status half-installed base-files:armhf 11ubuntu5
2020-07-31 16:57:20 status unpacked base-files:armhf 11ubuntu5
2020-07-31 16:57:20 upgrade base-passwd:armhf 3.5.47 3.5.47
2020-07-31 16:57:20 status half-configured base-passwd:armhf 3.5.47
2020-07-31 16:57:20 status unpacked base-passwd:armhf 3.5.47
2020-07-31 16:57:20 status half-installed base-passwd:armhf 3.5.47
2020-07-31 16:57:20 status unpacked base-passwd:armhf 3.5.47
2020-07-31 16:57:20 install bash:armhf <none> 5.0-6ubuntu1
2020-07-31 16:57:20 status half-installed bash:armhf 5.0-6ubuntu1
2020-07-31 16:57:20 status unpacked bash:armhf 5.0-6ubuntu1
2020-07-31 16:57:20 install bsdutils:armhf <none> 1:2.34-0.1ubuntu9
2020-07-31 16:57:20 status half-installed bsdutils:armhf 1:2.34-0.1ubuntu9
2020-07-31 16:57:20 status unpacked bsdutils:armhf 1:2.34-0.1ubuntu9
2020-07-31 16:57:20 install coreutils:armhf <none> 8.30-3ubuntu2
2020-07-31 16:57:20 status half-installed coreutils:armhf 8.30-3ubuntu2
2020-07-31 16:57:21 status unpacked coreutils:armhf 8.30-3ubuntu2
2020-07-31 16:57:21 install dash:armhf <none> 0.5.10.2-6
2020-07-31 16:57:21 status half-installed dash:armhf 0.5.10.2-6
2020-07-31 16:57:21 status unpacked dash:armhf 0.5.10.2-6
2020-07-31 16:57:21 install debconf:all <none> 1.5.73
2020-07-31 16:57:21 status half-installed debconf:all 1.5.73
2020-07-31 16:57:21 status unpacked debconf:all 1.5.73
2020-07-31 16:57:21 install debianutils:armhf <none> 4.9.1
2020-07-31 16:57:21 status half-installed debianutils:armhf 4.9.1
2020-07-31 16:57:21 status unpacked debianutils:armhf 4.9.1
2020-07-31 16:57:21 install diffutils:armhf <none> 1:3.7-3
2020-07-31 16:57:21 status half-installed diffutils:armhf 1:3.7-3
2020-07-31 16:57:21 status unpacked diffutils:armhf 1:3.7-3
2020-07-31 16:57:21 upgrade dpkg:armhf 1.19.7ubuntu3 1.19.7ubuntu3
2020-07-31 16:57:21 status half-configured dpkg:armhf 1.19.7ubuntu3
2020-07-31 16:57:21 status unpacked dpkg:armhf 1.19.7ubuntu3
2020-07-31 16:57:21 status half-installed dpkg:armhf 1.19.7ubuntu3
2020-07-31 16:57:21 status unpacked dpkg:armhf 1.19.7ubuntu3
2020-07-31 16:57:21 install e2fsprogs:armhf <none> 1.45.5-2ubuntu1
2020-07-31 16:57:21 status half-installed e2fsprogs:armhf 1.45.5-2ubuntu1
2020-07-31 16:57:21 status unpacked e2fsprogs:armhf 1.45.5-2ubuntu1
2020-07-31 16:57:21 install fdisk:armhf <none> 2.34-0.1ubuntu9
2020-07-31 16:57:21 status half-installed fdisk:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:21 status unpacked fdisk:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:21 install findutils:armhf <none> 4.7.0-1ubuntu1
2020-07-31 16:57:21 status half-installed findutils:armhf 4.7.0-1ubuntu1
2020-07-31 16:57:21 status unpacked findutils:armhf 4.7.0-1ubuntu1
2020-07-31 16:57:21 install gcc-10-base:armhf <none> 10-20200411-0ubuntu1
2020-07-31 16:57:21 status half-installed gcc-10-base:armhf 10-20200411-0ubuntu1
2020-07-31 16:57:21 status unpacked gcc-10-base:armhf 10-20200411-0ubuntu1
